Date             P       T       L
2020-04-29     42        39        55
2020-04-28     38        23        55
2020-04-27     40        37        71
2020-04-26     33        37        72
2020-04-25     34        37        58
2020-04-24     30        37        44
2020-04-23     38        20        68
2020-04-22     49        38        60
2020-04-21     43        46        90
2020-04-20     41        50        11
2020-04-19     42        25        52
2020-04-18     37        33        17
2020-04-17     29        35        15
2020-04-16     49        48        71
2020-04-15     34        46        27
2020-04-14     45        19        78
2020-04-13     70        17        70
2020-04-12     67        40        56
2020-04-11     66        48        14
2020-04-10     31        16        76
2020-04-09     32        32        97
2020-04-08     49        44        41
2020-04-07     30        38        80
2020-04-06     34        43        58
2020-04-05     56        20        51
2020-04-04     42        30        67
2020-04-03     53        32        87
2020-04-02     48        34        14
2020-04-01     60        38        54
2020-03-31     29        32        38
2020-03-30     30        17        50
2020-03-29     62        26        79
2020-03-28     53        29        81
2020-03-27     50        41        18
2020-03-26     51        44        81
2020-03-25     46        31        77
2020-03-24     30        37        51
2020-03-23     33        28        50
2020-03-22     55        49        32
2020-03-21     54        18        33
2020-03-20     34        23        42
2020-03-19     40        16        18
2020-03-18     53        36        77
2020-03-17     69        43        26
2020-03-16     51        29        87
2020-03-15     33        21        48
2020-03-14     47        35        44
2020-03-13     53        47        46
2020-03-12     53        41        31
2020-03-11     67        26        30
2020-03-10     34        41        36
2020-03-09     30        28        73
2020-03-08     68        46        77
2020-03-07     31        27        33
2020-03-06     50        29        79
2020-03-05     65        15        77
2020-03-04     26        27        88
2020-03-03     46        40        33
2020-03-02     62        16        80
2020-03-01     50        20        21
2020-02-29     46        37        30
2020-02-28     46        20        42
2020-02-27     52        49        77
2020-02-26     68        26        42
2020-02-25     27        27        94
2020-02-24     38        35        15
2020-02-23     50        18        100
2020-02-22     44        26        98
2020-02-21     56        16        85
2020-02-20     66        18        69
2020-02-19     34        50        75
2020-02-18     70        22        42
2020-02-17     52        50        37
2020-02-16     56        40        46
2020-02-15     26        46        56
2020-02-14     67        46        88
2020-02-13     44        35        36
2020-02-12     28        37        37
2020-02-11     68        31        13
2020-02-10     58        19        95
2020-02-09     29        47        11
2020-02-08     66        29        41
2020-02-07     25        34        74
2020-02-06     48        35        92
2020-02-05     25        44        28
2020-02-04     48        24        83
2020-02-03     34        36        76
2020-02-02     32        49        65
2020-02-01     61        15        20
2020-01-31     32        35        31
2020-01-30     42        18        37
2020-01-29     26        34        39
2020-01-28     66        36        26
2020-01-27     31        35        90
2020-01-26     64        32        79
2020-01-25     50        38        55
2020-01-24     58        34        28
2020-01-23     34        21        26
2020-01-22     48        38        95
2020-01-21     52        34        54
2020-01-20     68        48        49
2020-01-19     48        37        35
2020-01-18     45        17        20
2020-01-17     59        43        84
2020-01-16     47        22        92
2020-01-15     53        24        15
2020-01-14     59        15        44
2020-01-13     52        41        33
2020-01-12     65        31        12
2020-01-11     33        24        48
2020-01-10     67        45        96
2020-01-09     27        26        91
2020-01-08     60        29        19
2020-01-07     25        45        29
2020-01-06     49        42        13
2020-01-05     46        21        58
2020-01-04     50        42        28
2020-01-03     54        40        85
2020-01-02     36        46        24
2020-01-01     38        41        57
2019-12-31     45        47        66
2019-12-30     61        28        84
2019-12-29     36        41        35
2019-12-28     37        47        84
2019-12-27     68        36        65
2019-12-26     61        29        97
2019-12-25     28        50        75
2019-12-24     36        17        12
2019-12-23     30        40        46
2019-12-22     26        50        68
2019-12-21     60        50        79
2019-12-20     56        19        81
2019-12-19     31        17        64
2019-12-18     59        27        79
2019-12-17     57        38        53
2019-12-16     43        26        47
2019-12-15     54        24        32
2019-12-14     66        30        59
2019-12-13     28        18        40
2019-12-12     61        17        15
2019-12-11     70        40        94
2019-12-10     26        47        15
2019-12-09     56        45        88
2019-12-08     52        17        83
2019-12-07     37        34        45
2019-12-06     38        22        33
2019-12-05     70        43        39
2019-12-04     29        40        22
2019-12-03     31        19        36
2019-12-02     40        39        67
2019-12-01     45        29        26
2019-11-30     31        18        60
2019-11-29     45        23        13
2019-11-28     59        32        59
2019-11-27     59        16        33
2019-11-26     32        44        79
2019-11-25     46        21        16
2019-11-24     25        20        20
2019-11-23     29        18        75
2019-11-22     47        42        31
2019-11-21     39        20        25
2019-11-20     56        19        42
2019-11-19     59        26        13
2019-11-18     41        15        48
2019-11-17     43        32        35
2019-11-16     67        44        44
2019-11-15     49        35        20
2019-11-14     60        43        21
2019-11-13     39        43        36
2019-11-12     27        45        26
2019-11-11     28        41        42
2019-11-10     38        40        36
2019-11-09     42        39        45
2019-11-08     70        47        58
2019-11-07     52        50        85
2019-11-06     58        48        90
2019-11-05     56        18        22
2019-11-04     68        22        20
2019-11-03     51        38        93
2019-11-02     34        20        11
2019-11-01     46        49        73
2019-10-31     41        41        96
2019-10-30     33        33        20
2019-10-29     67        47        42
2019-10-28     42        26        14
2019-10-27     69        47        41
2019-10-26     44        24        15
2019-10-25     55        28        19
2019-10-24     43        27        19
2019-10-23     53        42        10
2019-10-22     47        43        98
2019-10-21     30        23        70
2019-10-20     60        17        15
2019-10-19     68        46        35
2019-10-18     29        32        44
2019-10-17     57        27        39
2019-10-16     40        45        36
2019-10-15     30        16        28
2019-10-14     57        33        90
2019-10-13     67        42        25
2019-10-12     42        42        100
2019-10-11     62        29        17
2019-10-10     47        26        32
2019-10-09     48        16        76
2019-10-08     47        19        22
2019-10-07     43        46        30
2019-10-06     27        43        30
2019-10-05     55        15        69
2019-10-04     61        42        64
2019-10-03     56        38        43
2019-10-02     52        32        68
2019-10-01     34        24        94
2019-09-30     32        27        42
2019-09-29     62        43        71
2019-09-28     69        44        100
2019-09-27     55        31        73
2019-09-26     29        47        55
2019-09-25     56        19        89
2019-09-24     34        24        31
2019-09-23     60        44        14
2019-09-22     53        34        77
2019-09-21     53        17        90
2019-09-20     57        24        66
2019-09-19     42        48        99
2019-09-18     27        35        32
2019-09-17     60        17        42
2019-09-16     47        23        89
2019-09-15     40        44        77
2019-09-14     40        28        76
2019-09-13     25        48        58
2019-09-12     63        45        43
2019-09-11     39        34        19
2019-09-10     36        17        43
2019-09-09     40        30        53
2019-09-08     54        18        49
2019-09-07     36        47        35
2019-09-06     40        43        28
2019-09-05     54        16        52
2019-09-04     62        27        47
2019-09-03     57        37        38
2019-09-02     66        32        31
2019-09-01     52        30        87
2019-08-31     33        38        49
2019-08-30     55        27        49
2019-08-29     26        15        29
2019-08-28     53        37        28
2019-08-27     56        17        34
2019-08-26     67        15        79
2019-08-25     61        19        73
2019-08-24     30        19        47
2019-08-23     27        27        88
2019-08-22     61        21        21
2019-08-21     56        38        42
2019-08-20     53        25        99
2019-08-19     30        32        48
2019-08-18     27        50        55
2019-08-17     39        30        98
2019-08-16     37        46        29
2019-08-15     28        50        37
2019-08-14     50        50        84
2019-08-13     25        19        84
2019-08-12     29        30        91
2019-08-11     25        37        52
2019-08-10     30        30        42
2019-08-09     56        44        93
2019-08-08     60        49        15
2019-08-07     60        32        23
2019-08-06     66        30        63
2019-08-05     42        27        32
2019-08-04     44        46        65
2019-08-03     32        23        52
2019-08-02     33        20        95
2019-08-01     36        16        52
2019-07-31     63        30        17
2019-07-30     69        16        56
2019-07-29     65        32        91
2019-07-28     40        18        31
2019-07-27     39        33        10
2019-07-26     43        47        27
2019-07-25     38        18        37
2019-07-24     46        21        18
2019-07-23     68        49        60
2019-07-22     37        44        93
2019-07-21     58        41        18
2019-07-20     70        31        37
2019-07-19     66        26        83
2019-07-18     40        15        13
2019-07-17     66        49        71
2019-07-16     44        25        63
2019-07-15     53        47        13
2019-07-14     62        43        69
2019-07-13     51        40        37
2019-07-12     34        38        87
2019-07-11     35        39        82
2019-07-10     62        39        50
2019-07-09     70        47        72
2019-07-08     45        21        79
2019-07-07     50        22        96
2019-07-06     49        17        19
2019-07-05     55        26        68
2019-07-04     37        49        83
2019-07-03     49        37        31
2019-07-02     53        25        42
2019-07-01     50        41        68
2019-06-30     40        26        16
2019-06-29     66        39        24
2019-06-28     37        41        90
2019-06-27     61        15        99
2019-06-26     31        25        64
2019-06-25     32        41        41
2019-06-24     62        34        95
2019-06-23     29        28        98
2019-06-22     51        23        83
2019-06-21     29        22        62
2019-06-20     44        48        59
2019-06-19     27        24        50
2019-06-18     35        46        58
2019-06-17     65        24        99
2019-06-16     64        48        78
2019-06-15     56        29        70
2019-06-14     64        26        22
2019-06-13     54        23        78
2019-06-12     70        15        39
2019-06-11     55        41        13
2019-06-10     40        33        76
2019-06-09     60        27        22
